Agent,Year,Delta_DPI,Delta_Consumption,MPC
47,2003,12427.817436784651,-21702.60193414247,-1.7462923030962554
47,2004,9590.735222006857,18024.793077138223,1.879396382018619
47,2005,9792.985034930723,13981.507359799376,1.4277063949274464
47,2008,15168.167175173352,-26896.225920787605,-1.7732021021505004
47,2011,6872.493896881555,4547.832257659524,0.661744095505583
47,2012,4081.8419484357,-29751.056262030877,-7.288635042185425
47,2013,3199.3181955431937,72129.85610767419,22.54538364085029
47,2014,2362.515115072223,-39782.36952744864,-16.838990478260907
47,2017,3939.1513768973527,-9883.637094128208,-2.509077755197362
47,2018,4799.945413049136,5926.154834268207,1.234629631028169
47,2019,4119.839902595617,7651.4250015756115,1.8572141594033775
47,2020,9242.42365843209,28902.391360399284,3.1271441808481613
48,2002,18928.56819076033,41013.59695640356,2.166756436254047
48,2003,18805.362436926225,32571.916964532633,1.7320547303344918
48,2004,10576.570772497915,37190.54630884345,3.516314229707555
48,2005,5635.61924786077,-7907.066559361294,-1.40305194719511
48,2008,2311.5059131770686,9087.552995450562,3.931442677107453
48,2011,10540.922458563786,6554.126802438113,0.6217792444828516
48,2012,4570.450847490138,-3771.0938093093864,-0.8251032414844329
48,2018,8289.22672028991,24385.14136888215,2.941787236823135
48,2019,4659.234245797881,21605.093135625677,4.637048063232945
49,2002,19189.529734289565,92632.13129043538,4.827222582995978
49,2003,12417.821723509784,-1978.2817930076271,-0.15930988840516902
49,2004,8514.96354614629,38355.693213745835,4.504504688232622
49,2005,9684.396333433688,7962.34388924815,0.8221827788851999
49,2009,3227.5191930249566,132.22782205053954,0.04096887241950387
49,2011,6779.670473219157,14653.755404203723,2.16142590736357
49,2012,4845.325885196711,16308.53771815938,3.365828863644593
49,2013,4093.568170009996,-21776.113014011906,-5.319592128340868
49,2018,18766.194566952414,-17938.563415716577,-0.9558977634872597
49,2020,3153.4538924247317,9289.77483203722,2.9459047599691366
50,2002,32659.748444047495,60376.00724036587,1.848636628166372
50,2003,17874.069264186022,-17052.523985827138,-0.9540370317348494
50,2005,10175.016239851451,92618.3387259178,9.10252490439956
50,2009,2354.0466093174764,-36546.88968998159,-15.525134271057555
50,2011,7143.23208596959,11389.495794701768,1.5944457155567568
50,2012,4557.35357934027,320.76694245572435,0.07038447574264341
50,2014,6280.524794908968,-2583.7312844563858,-0.41138780099248623
50,2015,7150.323572132882,-39777.194626362005,-5.562992251341822
50,2017,2828.5787333101907,-63399.51924064482,-22.413913565153088
51,2002,25364.99193960885,21598.236994257575,0.8514978851828737
51,2003,20614.64974426711,40052.75686433786,1.9429268680869267
51,2004,3412.8825344130455,3159.721559392725,0.9258219489045908
51,2005,11173.779682671186,17262.347049796197,1.5448977463344336
51,2006,5699.323605108162,930.7278308024397,0.16330496306057293
51,2009,4179.444836652139,-23536.825901357137,-5.631567545753479
51,2011,10334.545282156963,15017.615310605353,1.4531471777992895
51,2013,8550.870440024708,7666.079551049072,0.8965262197361653
51,2017,8643.8183829638,-5237.278354742593,-0.6058987038719837
51,2018,3390.657249987911,-3888.422418261325,-1.1468049205726083
51,2019,4840.012553822773,48160.73929967909,9.950540161644918
52,2002,14730.388542425586,6969.794542943229,0.47315754929812226
52,2003,11741.412393731182,134173.25781616,11.42735246125892
52,2004,3053.9155776495463,-39937.580072400044,-13.077499707158932
52,2005,10547.657428710867,40547.525498721865,3.8442209346267684
52,2008,1545.4679208495654,15116.242915535899,9.78101370569134
52,2011,6832.362792555883,-8655.082114870806,-1.2667773034975314
52,2012,4382.239144779771,10342.142799311783,2.3600133305439512
52,2013,4780.111642648029,28762.440429453825,6.01710641501259
52,2018,15277.897410417441,54185.34932597392,3.5466496383872106
52,2019,8628.397127985896,-46863.104683782294,-5.4312642300368275
53,2002,23500.805178124952,20906.7502949459,0.8896184678134496
